Tempo (nanossegundos)
0
281471000
504110000
354876000
340177000
506114000
348630000
345745000
449825000
450584000
442803000
490451000
529901000
499978000
611184000
645312000
590127000
590256000
593832000
609632000
586762000
633689000
630730000
649333000
613296000
743895000
626264000
631635000
636312000
660255000
689566000
601198000
619802000
679455000
613634000
735208000
605085000
633940000
669748000
632504000
634049000
745992000
700790000
627355000
618386000
670072000
649080000
839758000
676238000
730518000
629675000
759958000
643610000
958595000
715499000
677738000
606937000
633766000
670974000
641078000
615608000
704751000
831273000
658244000
688958000
639915000
666347000
729330000
703791000
650056000
653843000
678893000
650159000
608406000
632999000
698144000
604380000
622723000
693020000
717851000
680121000
625291000
695217000
962912000
741232000
918886000
755397000
679002000
771454000
898522000
661077000
795107000
763331000
759799000
1064225000
764562000
726858000
712244000
678360000
734335000
